"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","5/414","97/9399",0.0515463917525773,1.17025250261467,0.361784581534458,0.425662800984935,0.999999744496914,0.923181504883883,"5187/2790/112/6261/9722",5
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","6/414","119/9399",0.0504201680672269,1.14468396054074,0.340940607989983,0.427510884015291,0.999999744496914,0.923181504883883,"6347/3976/8809/4318/6364/3627",6
"Human Diseases","Cancer: specific types","hsa05214","Glioma","4/414","76/9399",0.0526315789473684,1.19488939740656,0.366164314725547,0.432134683990247,0.999999744496914,0.923181504883883,"1647/5335/5159/814",4
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","7/414","142/9399",0.0492957746478873,1.11915697081037,0.307105323404179,0.43569844491956,0.999999744496914,0.923181504883883,"7850/6347/3554/596/4318/3674/2949",7
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","3/414","55/9399",0.0545454545454545,1.23833992094862,0.380513939455592,0.438945746872162,0.999999744496914,0.923181504883883,"7357/8613/55512",3
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","9/414","187/9399",0.0481283422459893,1.09265287142525,0.274701842259657,0.441473776733017,0.999999744496914,0.923181504883883,"6347/596/1669/1667/728358/4939/4940/820/1668",9
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","5/414","99/9399",0.0505050505050505,1.14661103791539,0.314776021163305,0.44314278758576,0.999999744496914,0.923181504883883,"596/112/4318/2852/28514",5
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","5/414","99/9399",0.0505050505050505,1.14661103791539,0.314776021163305,0.44314278758576,0.999999744496914,0.923181504883883,"160851/5335/5159/8613/204962",5
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","7/414","144/9399",0.0486111111111111,1.10361312399356,0.268946968137521,0.450175710480257,0.999999744496914,0.923181504883883,"3625/3976/3624/8820/6932/2263/7476",7
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","3/414","56/9399",0.0535714285714286,1.21622670807453,0.348352575470924,0.450641332923651,0.999999744496914,0.923181504883883,"5727/596/122011",3
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","6/414","122/9399",0.0491803278688525,1.11653599429793,0.278096211928995,0.451156284126664,0.999999744496914,0.923181504883883,"5208/6513/10231/5335/478/9882",6
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","10/414","212/9399",0.0471698113207547,1.07089144107192,0.224095805216909,0.458468096816938,0.999999744496914,0.923181504883883,"1942/5335/7074/5159/51466/112/83660/3674/2263/2254",10
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","4/414","79/9399",0.0506329113924051,1.1495138506696,0.286448047515626,0.461725171709674,0.999999744496914,0.923181504883883,"874/10720/2949/1645",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","1/414","14/9399",0.0714285714285714,1.62163561076605,0.49962207055268,0.46799451161318,0.999999744496914,0.923181504883883,"8534",1
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","10/414","214/9399",0.0467289719626168,1.06088310984695,0.19338508878445,0.470380635559142,0.999999744496914,0.923181504883883,"917/4773/1234/2790/596/916/5335/915/919/356",10
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","6/414","125/9399",0.048,1.08973913043478,0.216801442682507,0.474581086019232,0.999999744496914,0.923181504883883,"596/2206/5521/5581/53637/2205",6
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","2/414","36/9399",0.0555555555555556,1.26127214170692,0.337128675379299,0.475065686728559,0.999999744496914,0.923181504883883,"5208/5209",2
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","2/414","36/9399",0.0555555555555556,1.26127214170692,0.337128675379299,0.475065686728559,0.999999744496914,0.923181504883883,"256435/51301",2
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","3/414","59/9399",0.0508474576271186,1.15438467207074,0.255338085364159,0.485099656007768,0.999999744496914,0.923181504883883,"7378/5169/129607",3
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","3/414","59/9399",0.0508474576271186,1.15438467207074,0.255338085364159,0.485099656007768,0.999999744496914,0.923181504883883,"5226/26873/2949",3
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","7/414","149/9399",0.0469798657718121,1.06657912654411,0.175840622011769,0.486027108037916,0.999999744496914,0.923181504883883,"160851/5335/5159/2206/112/8613/2205",7
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","2/414","37/9399",0.0540540540540541,1.22718370544458,0.297202578210729,0.489532791190847,0.999999744496914,0.923181504883883,"9365/10720",2
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","2/414","37/9399",0.0540540540540541,1.22718370544458,0.297202578210729,0.489532791190847,0.999999744496914,0.923181504883883,"356/3620",2
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","2/414","37/9399",0.0540540540540541,1.22718370544458,0.297202578210729,0.489532791190847,0.999999744496914,0.923181504883883,"1647/6932",2
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","4/414","82/9399",0.0487804878048781,1.10745846588901,0.20978206919526,0.490764859832697,0.999999744496914,0.923181504883883,"7378/4353/10720/2949",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","1/414","15/9399",0.0666666666666667,1.51352657004831,0.427241468581421,0.49146284109556,0.999999744496914,0.923181504883883,"256435",1
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","9/414","195/9399",0.0461538461538462,1.04782608695652,0.144861407311536,0.491739890218821,0.999999744496914,0.923181504883883,"1991/5335/51284/566/1511/4353/3674/820/8348",9
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","3/414","60/9399",0.05,1.13514492753623,0.225415635864209,0.496355606391326,0.999999744496914,0.923181504883883,"4773/5335/9047",3
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","4/414","83/9399",0.0481927710843374,1.09411559280601,0.18486076184513,0.500302126666487,0.999999744496914,0.923181504883883,"55825/225/11001/92960",4
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","2/414","38/9399",0.0526315789473684,1.19488939740656,0.258391211775854,0.503747410700825,0.999999744496914,0.923181504883883,"478/4306",2
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","6/414","130/9399",0.0461538461538462,1.04782608695652,0.117863391691009,0.512944156321025,0.999999744496914,0.923181504883883,"117579/2790/112/4318/1910/1282",6
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","4/414","86/9399",0.0465116279069767,1.05594876980115,0.111880349929328,0.528432755219254,0.999999744496914,0.923181504883883,"6513/478/112/3778",4
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","1/414","17/9399",0.0588235294117647,1.33546462063086,0.297154506638579,0.535346252634764,0.999999744496914,0.923181504883883,"1036",1
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","6/414","133/9399",0.0451127819548872,1.02419091206277,0.0603101995558855,0.535453721088613,0.999999744496914,0.923181504883883,"4128/2790/5521/4129/6570/84152",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","5/414","110/9399",0.0454545454545455,1.03194993412385,0.0723503569924331,0.536253432283928,0.999999744496914,0.923181504883883,"6513/8569/596/5335/5209",5
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","4/414","87/9399",0.0459770114942529,1.04381142761952,0.0881220106967044,0.537637922856026,0.999999744496914,0.923181504883883,"1647/596/6932/374",4
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","7/414","157/9399",0.0445859872611465,1.01223114557371,0.0331736172397087,0.54185957436827,0.999999744496914,0.923181504883883,"5521/7005/6932/374/650/10413/7476",7
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","2/414","41/9399",0.0487804878048781,1.10745846588901,0.148013011266252,0.544822655872481,0.999999744496914,0.923181504883883,"4318/7380",2
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","10/414","227/9399",0.0440528634361234,1.00012768945924,0.000418017827163806,0.54622999719553,0.999999744496914,0.923181504883883,"6347/3554/4773/1234/2790/112/388372/356/1232/9560",10
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","9/414","204/9399",0.0441176470588235,1.00159846547315,0.00495451704733579,0.546788159057596,0.999999744496914,0.923181504883883,"5727/5335/7074/2335/4318/356/7078/7476/117581",9
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","5/414","112/9399",0.0446428571428571,1.01352225672878,0.030901482539872,0.552438813148686,0.999999744496914,0.923181504883883,"1234/596/959/3908/3118",5
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","4/414","89/9399",0.0449438202247191,1.0203549910438,0.0414142621888439,0.555772407141507,0.999999744496914,0.923181504883883,"2790/112/2570/5334",4
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","1/414","18/9399",0.0555555555555556,1.26127214170692,0.238157158517047,0.555850052614428,0.999999744496914,0.923181504883883,"55301",1
"Organismal Systems","Digestive system","hsa04980","Cobalamin transport and metabolism","1/414","18/9399",0.0555555555555556,1.26127214170692,0.238157158517047,0.555850052614428,0.999999744496914,0.923181504883883,"6947",1
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","4/414","91/9399",0.043956043956044,0.997929606625259,-0.00425994731788906,0.573521323537129,0.999999744496914,0.923181504883883,"2790/5138/112/2570",4
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","10/414","232/9399",0.0431034482758621,0.978573213393303,-0.0709326640856402,0.574350738469184,0.999999744496914,0.923181504883883,"7074/5159/2335/3680/3679/3674/2263/128239/2254/732",10
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","5/414","115/9399",0.0434782608695652,0.98708254568368,-0.0299169378181865,0.576190214727492,0.999999744496914,0.923181504883883,"596/2625/112/9365/6559",5
"Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","2/414","44/9399",0.0454545454545455,1.03194993412385,0.0455966839604369,0.583470598319267,0.999999744496914,0.923181504883883,"112/1780",2
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","1/414","20/9399",0.05,1.13514492753623,0.129865959865649,0.594189252283527,0.999999744496914,0.923181504883883,"8435",1
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","6/414","142/9399",0.0422535211267606,0.959277403551745,-0.104955052709437,0.600106558331851,0.999999744496914,0.923181504883883,"3554/4773/3932/814/55423/23547",6
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","3/414","70/9399",0.0428571428571429,0.972981366459627,-0.0487027746977023,0.601396438780966,0.999999744496914,0.923181504883883,"6513/8660/10891",3
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","3/414","70/9399",0.0428571428571429,0.972981366459627,-0.0487027746977023,0.601396438780966,0.999999744496914,0.923181504883883,"10720/2949/445329",3
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","4/414","95/9399",0.0421052631578947,0.955911517925248,-0.0927066629741872,0.607790231446175,0.999999744496914,0.923181504883883,"6347/940/6364/3118",4
"Human Diseases","Substance dependence","hsa05034","Alcoholism","8/414","191/9399",0.0418848167539267,0.95090674558009,-0.147134562143433,0.60914536090684,0.999999744496914,0.923181504883883,"4128/2790/814/3177/4129/8348/6570/84152",8
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","2/414","47/9399",0.0425531914893617,0.966080789392538,-0.0500381525214173,0.619647279073221,0.999999744496914,0.923181504883883,"8660/5581",2
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","3/414","72/9399",0.0416666666666667,0.945954106280193,-0.0988136207009576,0.620600267650816,0.999999744496914,0.923181504883883,"64135/9636/3627",3
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","5/414","122/9399",0.040983606557377,0.930446661914944,-0.165978931788406,0.628901989070498,0.999999744496914,0.923181504883883,"5208/8660/5521/5209/10891",5
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","3/414","73/9399",0.0410958904109589,0.932995830851697,-0.123360011442791,0.62996349044207,0.999999744496914,0.923181504883883,"1647/5159/2254",3
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","2/414","48/9399",0.0416666666666667,0.945954106280193,-0.0805773802196622,0.631156815149073,0.999999744496914,0.923181504883883,"586/259307",2
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","4/414","98/9399",0.0408163265306122,0.92664892043774,-0.156680004698968,0.632360278342255,0.999999744496914,0.923181504883883,"80271/160851/5335/8821",4
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","4/414","98/9399",0.0408163265306122,0.92664892043774,-0.156680004698968,0.632360278342255,0.999999744496914,0.923181504883883,"273/5335/5581/8613",4
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","8/414","196/9399",0.0408163265306122,0.92664892043774,-0.222755627720501,0.638265787845946,0.999999744496914,0.923181504883883,"7098/4773/1234/2790/5335/6932/1232/1237",8
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","6/414","148/9399",0.0405405405405405,0.920387779083431,-0.209543940620176,0.64040809370224,0.999999744496914,0.923181504883883,"1647/122011/6932/28514/2254/7476",6
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","1/414","23/9399",0.0434782608695652,0.98708254568368,-0.0133134589381952,0.645596173060272,0.999999744496914,0.923181504883883,"383",1
"Metabolism","Glycan biosynthesis and metabolism","hsa00515","Mannose type O-glycan biosynthesis","1/414","23/9399",0.0434782608695652,0.98708254568368,-0.0133134589381952,0.645596173060272,0.999999744496914,0.923181504883883,"27087",1
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","3/414","75/9399",0.04,0.908115942028985,-0.171485939300611,0.648207667145813,0.999999744496914,0.923181504883883,"383/586/875",3
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/414","75/9399",0.04,0.908115942028985,-0.171485939300611,0.648207667145813,0.999999744496914,0.923181504883883,"596/356/2949",3
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","3/414","75/9399",0.04,0.908115942028985,-0.171485939300611,0.648207667145813,0.999999744496914,0.923181504883883,"1647/596/3486",3
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","4/414","101/9399",0.0396039603960396,0.899124695078203,-0.218781011880233,0.655920863485465,0.999999744496914,0.923181504883883,"112/6932/1910/7476",4
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","3/414","76/9399",0.0394736842105263,0.89616704805492,-0.195084607992231,0.657087378782343,0.999999744496914,0.923181504883883,"3274/478/112",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/414","24/9399",0.0416666666666667,0.945954106280193,-0.0569038349090119,0.661244976852192,0.999999744496914,0.923181504883883,"9953",1
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","4/414","102/9399",0.0392156862745098,0.890309747087241,-0.23908677746866,0.663545781271258,0.999999744496914,0.923181504883883,"478/112/3778/8671",4
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","2/414","51/9399",0.0392156862745098,0.890309747087241,-0.168598079863574,0.664054390596236,0.999999744496914,0.923181504883883,"8613/122618",2
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","2/414","51/9399",0.0392156862745098,0.890309747087241,-0.168598079863574,0.664054390596236,0.999999744496914,0.923181504883883,"55176/5335",2
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","3/414","78/9399",0.0384615384615385,0.873188405797101,-0.241398106837675,0.67436057714546,0.999999744496914,0.923181504883883,"80271/5335/8821",3
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","2/414","52/9399",0.0384615384615385,0.873188405797101,-0.196826406224877,0.674483346015054,0.999999744496914,0.923181504883883,"112/1588",2
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","6/414","154/9399",0.038961038961039,0.884528514963298,-0.310127661225553,0.678198858380079,0.999999744496914,0.923181504883883,"9254/4773/112/814/6261/59285",6
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","4/414","104/9399",0.0384615384615385,0.873188405797101,-0.27913210137148,0.678448974092815,0.999999744496914,0.923181504883883,"160851/8613/122618/81544",4
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","3/414","79/9399",0.0379746835443038,0.862135388002201,-0.264129702709194,0.68275407999161,0.999999744496914,0.923181504883883,"6507/6536/6570",3
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","1/414","27/9399",0.037037037037037,0.840848094471283,-0.177760979682595,0.704174964892379,0.999999744496914,0.923181504883883,"6785",1
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","1/414","28/9399",0.0357142857142857,0.810817805383023,-0.215191521453327,0.717242780143612,0.999999744496914,0.923181504883883,"6785",1
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","1/414","28/9399",0.0357142857142857,0.810817805383023,-0.215191521453327,0.717242780143612,0.999999744496914,0.923181504883883,"249",1
"Organismal Systems","Sensory system","hsa04744","Phototransduction","1/414","29/9399",0.0344827586206897,0.782858570714643,-0.251380013855908,0.729734668844982,0.999999744496914,0.923181504883883,"5957",1
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","6/414","163/9399",0.0368098159509202,0.835689517204588,-0.454230154616626,0.729894817815457,0.999999744496914,0.923181504883883,"7098/4773/596/4318/356/64135",6
"Organismal Systems","Sensory system","hsa04742","Taste transduction","3/414","86/9399",0.0348837209302326,0.791961577350859,-0.41601292767396,0.737016030648088,0.999999744496914,0.923181504883883,"112/259286/8645",3
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","5/414","139/9399",0.0359712230215827,0.816651027004483,-0.467454385595028,0.739162659295783,0.999999744496914,0.923181504883883,"2289/596/112/4318/2852",5
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","2/414","59/9399",0.0338983050847458,0.769589781380496,-0.381077365269024,0.740270958392308,0.999999744496914,0.923181504883883,"1647/6932",2
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","8/414","216/9399",0.037037037037037,0.840848094471283,-0.507931651374851,0.74166915680128,0.999999744496914,0.923181504883883,"6347/4773/596/5335/959/4318/356/4973",8
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","1/414","30/9399",0.0333333333333333,0.756763285024155,-0.286419107751956,0.7416759545545,0.999999744496914,0.923181504883883,"246",1
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","1/414","30/9399",0.0333333333333333,0.756763285024155,-0.286419107751956,0.7416759545545,0.999999744496914,0.923181504883883,"2352",1
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","4/414","115/9399",0.0347826086956522,0.789666036546944,-0.487135309449302,0.752108122016896,0.999999744496914,0.923181504883883,"2790/596/112/814",4
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","1/414","31/9399",0.032258064516129,0.732351566152408,-0.320391482879292,0.753090849934416,0.999999744496914,0.923181504883883,"5226",1
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","1/414","31/9399",0.032258064516129,0.732351566152408,-0.320391482879292,0.753090849934416,0.999999744496914,0.923181504883883,"57571",1
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","1/414","31/9399",0.032258064516129,0.732351566152408,-0.320391482879292,0.753090849934416,0.999999744496914,0.923181504883883,"55176",1
NA,NA,"hsa04981","Folate transport and metabolism","1/414","31/9399",0.032258064516129,0.732351566152408,-0.320391482879292,0.753090849934416,0.999999744496914,0.923181504883883,"2352",1
NA,NA,"hsa04081","Hormone signaling","8/414","219/9399",0.0365296803652968,0.829329627423731,-0.548551874630267,0.755261338301417,0.999999744496914,0.923181504883883,"8660/2790/112/5618/9630/2852/153/5617",8
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","2/414","61/9399",0.0327868852459016,0.744357329531955,-0.42996210306198,0.756857920197475,0.999999744496914,0.923181504883883,"6546/478",2
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","3/414","89/9399",0.0337078651685393,0.765266243282853,-0.477589271561746,0.75791705733273,0.999999744496914,0.923181504883883,"5159/112/153",3
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","1/414","32/9399",0.03125,0.709465579710145,-0.353371215924426,0.764002505370705,0.999999744496914,0.923181504883883,"8972",1
"Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","1/414","32/9399",0.03125,0.709465579710145,-0.353371215924426,0.764002505370705,0.999999744496914,0.923181504883883,"285973",1
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","2/414","62/9399",0.032258064516129,0.732351566152408,-0.453853534493759,0.764803528164944,0.999999744496914,0.923181504883883,"8660/112",2
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","6/414","170/9399",0.0352941176470588,0.801278772378517,-0.561242110755843,0.765872333004219,0.999999744496914,0.923181504883883,"1647/5335/122011/6932/7476/2949",6
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","2/414","63/9399",0.0317460317460317,0.720726938118242,-0.477394872300795,0.772523040292438,0.999999744496914,0.923181504883883,"7089/28514",2
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","1/414","33/9399",0.0303030303030303,0.687966622749231,-0.385424923649571,0.774433055469619,0.999999744496914,0.923181504883883,"586",1
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","9/414","250/9399",0.036,0.817304347826087,-0.628449308599495,0.77863389844413,0.999999744496914,0.923181504883883,"114876/7098/6556/6272/51284/1511/8120/3177/1510",9
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","3/414","93/9399",0.032258064516129,0.732351566152408,-0.556779846330304,0.783678627728555,0.999999744496914,0.923181504883883,"57493/25945/6932",3
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","8/414","226/9399",0.0353982300884956,0.803642426574323,-0.641364665020789,0.784996505368931,0.999999744496914,0.923181504883883,"5727/7074/478/112/814/153/3362/84152",8
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","2/414","65/9399",0.0307692307692308,0.698550724637681,-0.523474914276744,0.787301606992902,0.999999744496914,0.923181504883883,"112/3164",2
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","4/414","122/9399",0.0327868852459016,0.744357329531955,-0.610054075505806,0.791804935684999,0.999999744496914,0.923181504883883,"8660/5335/112/3486",4
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","1/414","37/9399",0.027027027027027,0.613591852722288,-0.505500592077387,0.81175377872695,0.999999744496914,0.923181504883883,"259307",1
"Organismal Systems","Immune system","hsa04611","Platelet activation","4/414","126/9399",0.0317460317460317,0.720726938118242,-0.677427837945611,0.81210673562244,0.999999744496914,0.923181504883883,"10125/112/83660/3674",4
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","1/414","38/9399",0.0263157894736842,0.59744469870328,-0.533721964832513,0.820078275160088,0.999999744496914,0.923181504883883,"1118",1
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","2/414","71/9399",0.028169014084507,0.639518269034497,-0.654450819130073,0.826680180278293,0.999999744496914,0.923181504883883,"5618/5617",2
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","1/414","39/9399",0.0256410256410256,0.582125603864734,-0.561305104019897,0.828035501320084,0.999999744496914,0.923181504883883,"875",1
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","2/414","73/9399",0.0273972602739726,0.621997220567798,-0.695933220109846,0.838275352073199,0.999999744496914,0.923181504883883,"1234/4599",2
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","2/414","73/9399",0.0273972602739726,0.621997220567798,-0.695933220109846,0.838275352073199,0.999999744496914,0.923181504883883,"1647/5335",2
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","1/414","41/9399",0.024390243902439,0.553729232944503,-0.61469219316988,0.842912097564696,0.999999744496914,0.923181504883883,"2570",1
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","4/414","133/9399",0.0300751879699248,0.682793941375177,-0.790824283365685,0.843726498885441,0.999999744496914,0.923181504883883,"1647/8660/604/356",4
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","3/414","105/9399",0.0285714285714286,0.648654244306418,-0.777117836783661,0.847659587441786,0.999999744496914,0.923181504883883,"4773/26253/338339",3
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","2/414","75/9399",0.0266666666666667,0.605410628019324,-0.736433833968133,0.849165024667674,0.999999744496914,0.923181504883883,"478/112",2
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","1/414","42/9399",0.0238095238095238,0.540545203588682,-0.640557278413705,0.849861701284317,0.999999744496914,0.923181504883883,"246",1
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","3/414","107/9399",0.0280373831775701,0.636529865908167,-0.811642667752606,0.856558925257126,0.999999744496914,0.923181504883883,"6513/5836/10891",3
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","4/414","137/9399",0.0291970802919708,0.662858351845975,-0.853255607335268,0.859703292285989,0.999999744496914,0.923181504883883,"1647/596/356/8739",4
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","4/414","138/9399",0.0289855072463768,0.658055030455787,-0.868611690894457,0.863473412033716,0.999999744496914,0.923181504883883,"8660/8569/5836/10891",4
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","2/414","78/9399",0.0256410256410256,0.582125603864734,-0.795464237769862,0.86425339274973,0.999999744496914,0.923181504883883,"131870/10140",2
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","2/414","78/9399",0.0256410256410256,0.582125603864734,-0.795464237769862,0.86425339274973,0.999999744496914,0.923181504883883,"23176/2335",2
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","2/414","78/9399",0.0256410256410256,0.582125603864734,-0.795464237769862,0.86425339274973,0.999999744496914,0.923181504883883,"717/722",2
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","2/414","78/9399",0.0256410256410256,0.582125603864734,-0.795464237769862,0.86425339274973,0.999999744496914,0.923181504883883,"3565/3118",2
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","5/414","168/9399",0.0297619047619048,0.675681504485852,-0.910459920193068,0.86855971848107,0.999999744496914,0.923181504883883,"7098/5836/596/356/246",5
