"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"hsa04518","Integrin signaling","12/414","154/9399",0.0779220779220779,1.7690570299266,2.06549571926261,0.0391213654557881,0.335791720162181,0.309996784752005,"5159/2335/3908/1298/83660/3680/3679/1292/3674/10979/1291/1282",12
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","9/414","106/9399",0.0849056603773585,1.92760459392945,2.06156344595683,0.0437500096783604,0.365371702449009,0.337304484291199,"7850/596/5159/4318/2078/6932/2263/2352/4824",9
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","7/414","76/9399",0.0921052631578947,2.09105644546148,2.04991108287888,0.0493704894547539,0.401460032671552,0.370620571807155,"440503/729359/4023/2167/2169/4973/11001",7
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","4/414","34/9399",0.117647058823529,2.67092924126172,2.09508900210196,0.0607343593509315,0.476447433628402,0.439847571157543,"5187/6095/6097/4862",4
"Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","3/414","21/9399",0.142857142857143,3.24327122153209,2.20899721458091,0.06265423743057,0.476447433628402,0.439847571157543,"586/8876/5169",3
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","5/414","49/9399",0.102040816326531,2.31662230109435,1.98340905540217,0.0632179442678462,0.476447433628402,0.439847571157543,"4128/8851/4129/6570/84152",5
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","5/414","50/9399",0.1,2.27028985507246,1.93314353840274,0.0678264213687574,0.478715728792498,0.441941619835691,"383/4128/8974/57571/4129",5
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","5/414","50/9399",0.1,2.27028985507246,1.93314353840274,0.0678264213687574,0.478715728792498,0.441941619835691,"959/940/10803/3565/3118",5
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","10/414","133/9399",0.075187969924812,1.70698485343794,1.76257916539903,0.068589905193925,0.478715728792498,0.441941619835691,"4773/22914/5335/3932/919/259197/7535/356/100528032/3823",10
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","15/414","224/9399",0.0669642857142857,1.52028338509317,1.69168609696555,0.069715882833859,0.478715728792498,0.441941619835691,"7850/6513/917/3554/4773/2114/916/3560/915/3932/112/83660/4488/8829/3118",15
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","4/414","36/9399",0.111111111111111,2.52254428341385,1.96459268148614,0.0721049984388722,0.484357489513294,0.447149990318864,"5836/2992/8972/5169",4
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","11/414","154/9399",0.0714285714285714,1.62163561076605,1.66955848918125,0.0775029304470805,0.49946511796445,0.461097077051153,"9254/596/6546/478/6331/112/5521/3753/153/59285/7134",11
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","5/414","52/9399",0.0961538461538462,2.18297101449275,1.83610918949778,0.0775868144410796,0.49946511796445,0.461097077051153,"255738/6272/4023/4018/8435",5
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","12/414","173/9399",0.069364161849711,1.57476752953003,1.63782464590976,0.0798514120205597,0.50355278192557,0.464870733782421,"6347/7098/51284/356/4939/4940/56000/64135/4599/3627/91543/3118",12
