"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
10.3221460750714,0.282323580557406,0.233222461312612,1.21053340646713,0.226074280040941,0.296812491851232,"A2M"
529.284218994418,-0.146832003028733,0.0863212910771439,-1.70099405600307,0.0889441033473711,0.132996117602086,"AAAS"
137.938839723368,-0.140724708408323,0.0783980768649727,-1.79500204642388,0.0726533738888079,0.111597736628508,"AACS"
900.851672226974,-0.13648096876248,0.0457105433412669,-2.98576561961945,0.00282869356638073,0.00648702674972404,"AAGAB"
777.115385981765,-0.117985182514279,0.065452370645343,-1.80261129354028,0.0714492821288575,0.110036111618276,"AAK1"
105.149513528096,-0.127519837974179,0.125882976178963,-1.01300304334153,0.311058707277496,0.387277298359982,"AAMDC"
1092.25074292213,-0.226837106613059,0.0873854660871,-2.59582190002812,0.00943649644920493,0.0187426325020154,"AAMP"
11.2928074476932,0.0359724020317674,0.257288865778912,0.139813286995009,0.88880751491077,0.913726426424322,"AANAT"
505.526721515484,-0.177508900824509,0.0729075127025206,-2.43471343685508,0.0149035873936384,0.0280287702050675,"AAR2"
613.262837519187,-0.348528362348527,0.104610730087459,-3.33166934268732,0.000863267600556829,0.00227566707050434,"AARS1"
149.251362897537,-0.477059328843711,0.102576752639801,-4.65075484031852,3.30722291040363e-06,1.68836126114446e-05,"AARS2"
219.692792295911,-0.491304472304783,0.126557454826892,-3.88206663113444,0.00010357248720645,0.000351308701188947,"AARSD1"
238.571176837927,-0.164297961793599,0.0778746179498495,-2.1097755099024,0.0348776968731454,0.0591012325848007,"AASDH"
487.693208245693,-0.144871103052134,0.0732892729902559,-1.97670268978375,0.0480752465983687,0.0781111882577278,"AASDHPPT"
25.7566610807137,-0.511215356282685,0.142099006247963,-3.59759979876715,0.000321167280167611,0.000952491093892184,"AASS"
1408.84497075845,0.101345153930308,0.0594293311849244,1.70530530816434,0.0881374981184066,0.131958064869658,"AATF"
702.242974651651,0.744767485588392,0.144141465354089,5.16692045386691,2.37982485236631e-07,1.6732401282356e-06,"AATK"
620.592358459932,0.421405885448562,0.133835775586089,3.14867892088761,0.00164010287922728,0.00401198777227644,"ABAT"
2312.11684901263,0.0467787396218076,0.19869508899233,0.235429772618152,0.813875180180949,0.851589283287507,"ABCA1"
24.9184567840399,-0.156439252359656,0.113179372174268,-1.38222406923037,0.166902911897431,0.228849944398093,"ABCA10"
274.672517505648,1.87388583295855,0.321422187294704,5.82998282953141,5.54330794691287e-09,6.46031505144767e-08,"ABCA13"
1251.42273216097,0.400135574866379,0.128487104656945,3.11420804394903,0.00184439389445132,0.00444915424975503,"ABCA2"
52.6539619377467,-0.397701361224496,0.13553143351606,-2.93438467303874,0.00334209726103392,0.00750919317620283,"ABCA3"
319.358147942983,0.066633724150449,0.0989219856829299,0.67359873227805,0.500566459364462,0.576318141235927,"ABCA5"
8.52236291368168,-0.00910068490669991,0.204002437709715,-0.0446106674453064,0.964417639734484,0.972075580789676,"ABCA6"
3392.31786583753,0.0453438855426243,0.136677100680689,0.33175919972548,0.740071094876238,0.789431578984495,"ABCA7"
21.3423531381165,-0.233339945930578,0.113234975015433,-2.06067026463135,0.0393345083111353,0.0655878978277404,"ABCA9"
118.965215517246,-0.909694466943977,0.168727729449537,-5.3914935613239,6.98744633636323e-08,5.72734839321454e-07,"ABCB1"
523.490546935873,0.0711160469697311,0.0821388545157922,0.8658027603253,0.386598335206105,0.465200516247606,"ABCB10"
19.5667181212749,0.258707891836644,0.119953603026802,2.15673298099131,0.0310264756579696,0.0532476299659917,"ABCB11"
18.4600765616852,-0.374510195777453,0.207253191968234,-1.8070177458828,0.0707595123172519,0.109074724910692,"ABCB4"
162.070212628718,0.72613997775179,0.137348502482957,5.28684306435664,1.24445314577913e-07,9.48315025636986e-07,"ABCB6"
358.918514630697,-0.16428484455726,0.0538933150630278,-3.04833436883832,0.00230113726480859,0.00540160906256166,"ABCB7"
154.400974845673,-0.502645593504265,0.148238461543222,-3.39079067788158,0.000696913069283225,0.00188582775997708,"ABCB8"
32.1078212016632,0.0650091280553881,0.231797957312857,0.280456000600754,0.779127677834643,0.822500110938048,"ABCB9"
704.888958714721,-0.210461673850303,0.0587276725129588,-3.58368831667666,0.000338776312962227,0.00100049428833322,"ABCC1"
286.16921079887,-0.356078391486566,0.0788865959653317,-4.51380094589266,6.36759849705633e-06,3.00467055671546e-05,"ABCC10"
10.4641739196946,2.87329688997653,0.311750351241061,9.21665967187556,3.06499478159953e-20,1.66099140279759e-17,"ABCC11"
186.290104279397,0.789913572105117,0.143011557223864,5.52342473181117,3.32454749453294e-08,2.9836225603802e-07,"ABCC2"
557.38189221067,0.213084634267267,0.137951614327359,1.5446331331913,0.122435027122401,0.175744654864978,"ABCC3"
402.250164090463,0.315422230325391,0.159010394034158,1.98365793784293,0.0472939856087338,0.0769482976012771,"ABCC4"
869.302837086557,-0.00266130152161344,0.103283583123309,-0.0257669364398033,0.979443233986779,0.984338863197222,"ABCC5"
88.3880146739964,0.0300335204916445,0.130020997799942,0.230989770881898,0.817322748816583,0.854371802865618,"ABCC6"
270.307474817751,0.123340633237521,0.0802431438022727,1.53708625301927,0.124272188897746,0.178000929304589,"ABCC9"
254.162979584244,0.0197498759128137,0.121589733501583,0.162430456454258,0.870966888510589,0.899107880365902,"ABCD1"
101.12072732122,-1.15936811365816,0.164788777347617,-7.03547979613022,1.98576491176659e-12,7.36300726494505e-11,"ABCD2"
439.194051707902,0.0804079473012777,0.0754461619697176,1.06576590779464,0.286529475764689,0.361788718839006,"ABCD3"
476.034639450537,-0.339029671921591,0.0864171797798417,-3.92317445194706,8.7389824648552e-05,0.000301646895957398,"ABCD4"
610.277103913872,-0.373409019562334,0.11137615253461,-3.35268377533779,0.000800320893839033,0.00213247378861422,"ABCE1"
884.794603512039,-0.464768635595208,0.0785300523160621,-5.91835382618416,3.25179824016773e-09,4.07269664035229e-08,"ABCF1"
393.811033144203,-0.318143867371344,0.0739291718114965,-4.30336035932531,1.68226893310112e-05,7.07557291564023e-05,"ABCF2"
200.258642613514,-0.407370634070228,0.0884083142219572,-4.60783171419248,4.06889760874692e-06,2.02296285487806e-05,"ABCF2-H2BE1"
728.253360752014,-0.167428274246899,0.0788150573339534,-2.12431837151975,0.0336435305275609,0.0572578022869107,"ABCF3"
849.578278150401,0.301153117189882,0.161600800681423,1.8635620363266,0.0623832331027572,0.097871033784417,"ABCG1"
7.29458166553073,-0.281978332243456,0.228301503634224,-1.23511377610211,0.216788163033494,0.286704075196352,"ABCG2"
480.121774754806,-0.224761895085134,0.0773551234967219,-2.90558511091587,0.00366567141154556,0.00815300871170907,"ABHD10"
208.917978948292,0.042365391122598,0.118467052965524,0.357613277802454,0.72063274035727,0.772792093129914,"ABHD11"
264.083529542375,-0.37901763413924,0.112582840135006,-3.36656664270269,0.000761101895570724,0.00204148595252075,"ABHD12"
15.5026527104054,0.74508313204035,0.198945452956024,3.74516291259517,0.000180276753945252,0.000572929548959454,"ABHD12B"
1310.52337530359,0.477990699949296,0.100431287070993,4.7593804071376,1.94188143819043e-06,1.05033699705345e-05,"ABHD13"
103.8014766904,-0.772007835067417,0.169080745316837,-4.5659121836775,4.97326944792374e-06,2.41216407990518e-05,"ABHD14A"
702.704184700191,-0.625658414248138,0.152980746742356,-4.08978533293373,4.31772614092995e-05,0.000160280375003915,"ABHD14B"
233.414006663926,-0.563195327143924,0.089550875094507,-6.2891102577117,3.19290643573544e-10,5.59552881585974e-09,"ABHD15"
1811.59521155544,0.325705016163738,0.0770367834713553,4.22791556821482,2.35866263467316e-05,9.5007308526429e-05,"ABHD16A"
4.07396222386327,-0.0245937955141711,0.277776851357667,-0.0885379591350612,0.929449115758907,0.945623369271644,"ABHD16B"
331.562556623105,-0.0649391087116473,0.18638331872364,-0.348416956819703,0.727527069684142,0.778585478645721,"ABHD17A"
350.316474696919,0.23010863968787,0.0753082639548265,3.05555629095235,0.00224643429587019,0.00529213496552601,"ABHD17B"
92.2534665222953,0.640413484904429,0.130835241128159,4.89480876392558,9.84013691710387e-07,5.79891323403445e-06,"ABHD17C"
415.328100453282,0.0707384330552104,0.0773216590500841,0.914859224753448,0.360265538429642,0.438202817375143,"ABHD18"
6585.27244647075,0.42504210195557,0.124374277351644,3.41744379148306,0.000632121454188229,0.00173246280675202,"ABHD2"
3140.24637785564,0.473007904100007,0.134943278675387,3.50523500498199,0.000456204400207628,0.00130057369135585,"ABHD3"
1450.67848254931,0.420319779375372,0.0783924252468688,5.36173970956666,8.24242512781509e-08,6.61742279492391e-07,"ABHD4"
3802.4806668707,1.04734740958988,0.125773479439588,8.32725161342892,8.27407648076656e-17,1.29535264015557e-14,"ABHD5"
117.537355966599,0.216641054272724,0.09298518694381,2.32984479994258,0.0198143553857372,0.0360330752949196,"ABHD6"
74.8940178925751,0.0765103404104738,0.170390089100924,0.449030461890046,0.653409682251584,0.714682690803045,"ABHD8"
3289.48544503047,0.346589038764339,0.100182556875679,3.4595746961663,0.000541029193565507,0.00151072162848553,"ABI1"
196.351087897159,-0.605150101654814,0.112884485350741,-5.36079072136942,8.28584638680102e-08,6.64471118895995e-07,"ABI2"
657.906357479001,-0.626447250927529,0.167303917589305,-3.74436689800247,0.000180849217853117,0.000574299184032097,"ABI3"
467.158285125033,0.351465408874347,0.0901833730100549,3.89723068835716,9.72989275593713e-05,0.000332188487838997,"ABITRAM"
237.203837433713,-0.351493637647238,0.0760218293122799,-4.62358826177918,3.77158150673517e-06,1.89588239136277e-05,"ABL1"
413.452926699311,0.150004849444316,0.111688206999156,1.34306793415934,0.179249977474021,0.243249384590032,"ABL2"
